As Of,NAV per Share,Daily NAV Change,Daily NAV Change %
10/Apr/2014,11.61,0.05,0.43
09/Apr/2014,11.56,0.08,0.70
08/Apr/2014,11.48,-0.19,-1.63
07/Apr/2014,11.67,-0.34,-2.83
04/Apr/2014,12.01,-0.17,-1.40
03/Apr/2014,12.18,0.10,0.83
02/Apr/2014,12.08,0.13,1.09
01/Apr/2014,11.95,0.19,1.62
31/Mar/2014,11.76,-0.06,-0.51
28/Mar/2014,11.82,0.11,0.94
27/Mar/2014,11.71,-0.08,-0.68
26/Mar/2014,11.79,0.03,0.26
25/Mar/2014,11.76,0.04,0.34
24/Mar/2014,11.72,-0.20,-1.68
21/Mar/2014,11.92,-0.04,-0.33
20/Mar/2014,11.96,0.06,0.50
19/Mar/2014,11.90,-0.02,-0.17
18/Mar/2014,11.92,0.13,1.10
17/Mar/2014,11.79,0.09,0.77
14/Mar/2014,11.70,-0.17,-1.43
13/Mar/2014,11.87,-0.06,-0.50
12/Mar/2014,11.93,-0.16,-1.32
11/Mar/2014,12.09,0.07,0.58
10/Mar/2014,12.02,-0.17,-1.39
07/Mar/2014,12.19,-0.03,-0.25
06/Mar/2014,12.22,-0.03,-0.24
05/Mar/2014,12.25,0.11,0.91
04/Mar/2014,12.14,0.18,1.51
03/Mar/2014,11.96,-0.22,-1.81
28/Feb/2014,12.18,0.09,0.74
27/Feb/2014,12.09,0.04,0.33
26/Feb/2014,12.05,0.12,1.01
25/Feb/2014,11.93,-0.06,-0.50
24/Feb/2014,11.99,0.05,0.42
21/Feb/2014,11.94,0.14,1.19
20/Feb/2014,11.80,-0.07,-0.59
19/Feb/2014,11.87,0.02,0.17
18/Feb/2014,11.85,0.01,0.08
17/Feb/2014,11.84,0.06,0.51
14/Feb/2014,11.78,0.05,0.43
13/Feb/2014,11.73,-0.18,-1.51
12/Feb/2014,11.91,0.29,2.50
11/Feb/2014,11.62,0.16,1.40
10/Feb/2014,11.46,0.07,0.61
07/Feb/2014,11.39,0.17,1.52
06/Feb/2014,11.22,0.06,0.54
05/Feb/2014,11.16,-0.07,-0.62
04/Feb/2014,11.23,-0.29,-2.52
03/Feb/2014,11.52,-0.03,-0.26
31/Jan/2014,11.55,0.07,0.61
30/Jan/2014,11.48,0.05,0.44
29/Jan/2014,11.43,0.03,0.26
28/Jan/2014,11.40,-0.03,-0.26
27/Jan/2014,11.43,-0.18,-1.55
24/Jan/2014,11.61,-0.17,-1.44
23/Jan/2014,11.78,-0.16,-1.34
22/Jan/2014,11.94,-0.01,-0.08
21/Jan/2014,11.95,0.06,0.50
