As Of,NAV per Share,Daily NAV Change,Daily NAV Change %
18-May-15,16.60,0.02,0.12
15-May-15,16.58,0.19,1.16
13-May-15,16.39,0.07,0.43
12-May-15,16.32,-0.31,-1.86
11-May-15,16.63,0.11,0.67
08-May-15,16.52,0.27,1.66
07-May-15,16.25,0.01,0.06
06-May-15,16.24,-0.43,-2.58
05-May-15,16.67,-0.14,-0.83
04-May-15,16.81,0.14,0.84
30-Apr-15,16.67,-0.29,-1.71
29-Apr-15,16.96,-0.18,-1.05
28-Apr-15,17.14,-0.35,-2.00
27-Apr-15,17.49,0.07,0.40
24-Apr-15,17.42,-0.10,-0.57
23-Apr-15,17.52,0.13,0.75
22-Apr-15,17.39,0.07,0.40
21-Apr-15,17.32,0.28,1.64
20-Apr-15,17.04,0.14,0.83
17-Apr-15,16.90,-0.28,-1.63
16-Apr-15,17.18,-0.13,-0.75
15-Apr-15,17.31,0.03,0.17
14-Apr-15,17.28,-0.32,-1.82
13-Apr-15,17.60,0.13,0.74
10-Apr-15,17.47,0.27,1.57
09-Apr-15,17.20,0.17,1.00
08-Apr-15,17.03,0.08,0.47
07-Apr-15,16.95,0.21,1.25
02-Apr-15,16.74,-0.06,-0.36
01-Apr-15,16.80,-0.22,-1.29
31-Mar-15,17.02,0.14,0.83
30-Mar-15,16.88,0.27,1.63
27-Mar-15,16.61,0.10,0.61
26-Mar-15,16.51,-0.32,-1.90
25-Mar-15,16.83,-0.28,-1.64
24-Mar-15,17.11,0.03,0.18
23-Mar-15,17.08,-0.16,-0.93
20-Mar-15,17.24,-0.15,-0.86
19-Mar-15,17.39,0.11,0.64
18-Mar-15,17.28,0.08,0.47
17-Mar-15,17.20,-0.02,-0.12
16-Mar-15,17.22,0.02,0.12
13-Mar-15,17.20,0.21,1.24
12-Mar-15,16.99,-0.03,-0.18
11-Mar-15,17.02,0.20,1.19
10-Mar-15,16.82,-0.02,-0.12
09-Mar-15,16.84,-0.19,-1.12
06-Mar-15,17.03,0.32,1.92
05-Mar-15,16.71,0.13,0.78
04-Mar-15,16.58,0.01,0.06
03-Mar-15,16.57,0.07,0.42
02-Mar-15,16.50,-0.01,-0.06
27-Feb-15,16.51,0.08,0.49
26-Feb-15,16.43,0.15,0.92
25-Feb-15,16.28,0.07,0.43
24-Feb-15,16.21,0.08,0.50
23-Feb-15,16.13,0.04,0.25
20-Feb-15,16.09,0.12,0.75
19-Feb-15,15.97,0.02,0.13
18-Feb-15,15.95,0.11,0.69
17-Feb-15,15.84,-0.08,-0.50
16-Feb-15,15.92,0.00,0.00
13-Feb-15,15.92,0.20,1.27
12-Feb-15,15.72,-0.06,-0.38
11-Feb-15,15.78,0.11,0.70
10-Feb-15,15.67,0.08,0.51
09-Feb-15,15.59,-0.07,-0.45
06-Feb-15,15.66,0.12,0.77
05-Feb-15,15.54,0.00,0.00
04-Feb-15,15.54,0.19,1.24
03-Feb-15,15.35,0.09,0.59
02-Feb-15,15.26,-0.28,-1.80
30-Jan-15,15.54,0.16,1.04
29-Jan-15,15.38,-0.30,-1.91
28-Jan-15,15.68,0.23,1.49
27-Jan-15,15.45,-0.23,-1.47
26-Jan-15,15.68,-0.09,-0.57
23-Jan-15,15.77,0.61,4.02
22-Jan-15,15.16,0.29,1.95
21-Jan-15,14.87,0.13,0.88
20-Jan-15,14.74,0.00,0.00
19-Jan-15,14.74,0.06,0.41
16-Jan-15,14.68,0.05,0.34
15-Jan-15,14.63,0.09,0.62
14-Jan-15,14.54,-0.21,-1.42
13-Jan-15,14.75,0.25,1.72
12-Jan-15,14.50,-0.05,-0.34
09-Jan-15,14.55,0.10,0.69
08-Jan-15,14.45,0.23,1.62
07-Jan-15,14.22,0.03,0.21
06-Jan-15,14.19,-0.18,-1.25
05-Jan-15,14.37,-0.11,-0.76
02-Jan-15,14.48,0.01,0.07
31-Dec-14,14.47,0.03,0.21
30-Dec-14,14.44,0.01,0.07
29-Dec-14,14.43,0.01,0.07
23-Dec-14,14.42,0.17,1.19
22-Dec-14,14.25,0.12,0.85
19-Dec-14,14.13,0.18,1.29
18-Dec-14,13.95,0.48,3.56
17-Dec-14,13.47,0.00,0.00
16-Dec-14,13.47,-0.31,-2.25
15-Dec-14,13.78,-0.10,-0.72
12-Dec-14,13.88,-0.18,-1.28
11-Dec-14,14.06,-0.05,-0.35
10-Dec-14,14.11,0.09,0.64
09-Dec-14,14.02,-0.36,-2.50
08-Dec-14,14.38,-0.02,-0.14
05-Dec-14,14.40,0.14,0.98
04-Dec-14,14.26,-0.05,-0.35
03-Dec-14,14.31,0.20,1.42
02-Dec-14,14.11,0.00,0.00
01-Dec-14,14.11,-0.14,-0.98
28-Nov-14,14.25,0.01,0.07
27-Nov-14,14.24,0.15,1.06
26-Nov-14,14.09,-0.03,-0.21
25-Nov-14,14.12,-0.01,-0.07
24-Nov-14,14.13,0.02,0.14
21-Nov-14,14.11,0.29,2.10
20-Nov-14,13.82,0.00,0.00
19-Nov-14,13.82,-0.13,-0.93
18-Nov-14,13.95,-0.02,-0.14
17-Nov-14,13.97,-0.01,-0.07
14-Nov-14,13.98,-0.04,-0.29
13-Nov-14,14.02,0.11,0.79
12-Nov-14,13.91,-0.07,-0.50
11-Nov-14,13.98,0.08,0.58
10-Nov-14,13.90,0.10,0.72
07-Nov-14,13.80,-0.10,-0.72
06-Nov-14,13.90,0.03,0.22
05-Nov-14,13.87,0.02,0.14
04-Nov-14,13.85,-0.05,-0.36
03-Nov-14,13.90,0.06,0.43
31-Oct-14,13.84,0.42,3.13
30-Oct-14,13.42,0.10,0.75
29-Oct-14,13.32,0.00,0.00
28-Oct-14,13.32,0.15,1.14
27-Oct-14,13.17,-0.01,-0.08
24-Oct-14,13.18,0.06,0.46
23-Oct-14,13.12,-0.03,-0.23
22-Oct-14,13.15,0.30,2.33
21-Oct-14,12.85,0.21,1.66
20-Oct-14,12.64,0.01,0.08
17-Oct-14,12.63,0.11,0.88
16-Oct-14,12.52,0.01,0.08
15-Oct-14,12.51,-0.13,-1.03
14-Oct-14,12.64,0.06,0.48
13-Oct-14,12.58,-0.34,-2.63
10-Oct-14,12.92,-0.20,-1.52
09-Oct-14,13.12,0.06,0.46
08-Oct-14,13.06,-0.22,-1.66
07-Oct-14,13.28,-0.26,-1.92
06-Oct-14,13.54,0.08,0.59
03-Oct-14,13.46,0.26,1.97
02-Oct-14,13.20,-0.15,-1.12
01-Oct-14,13.35,-0.15,-1.11
30-Sep-14,13.50,0.17,1.28
29-Sep-14,13.33,-0.05,-0.37
